,tract,Base_Num,Robot_Num,Time,CO2_Emission
73,177.0,4,4,0.7751673050197221,3.799654572207434
74,178.0,3,5,0.9256799221021113,3.920036871864172
75,179.0,3,5,1.1023958873227775,4.89312016617952
76,180.0,2,2,0.5008524643960833,0.2515395162816758
77,181.0,5,2,0.3090996048324445,0.6293568905540081
78,183.0,5,1,0.3162408701417777,1.138448923926001
79,184.0,4,1,0.2752775216369444,0.4556000218027795
80,185.0,2,4,0.4549942300938888,1.1223206027859227
81,186.0,5,2,1.3866846936313888,0.6004688744911031
82,187.0,5,1,0.3226409883320834,0.7275712181030491
83,188.0,4,3,0.5747527254874444,1.674804938284863
84,19.0,3,5,0.62214339593525,0.9460290102925258
85,190.0,5,2,0.1710131434588333,0.450912829408066
86,192.0,2,1,0.1878692277555555,1.1561033469950643
87,193.0,5,3,0.1134883080262222,0.9670782379146514
88,195.0,5,2,0.5624086970838056,0.8857156845240045
89,196.0,4,1,0.2809420127208888,0.5367690228441684
90,197.0,5,2,0.0136972280361666,0.7367359421514638
91,198.0,5,1,0.75312975281325,0.6979557982629376
92,199.0,5,5,0.3355442863566666,0.6811554121969514
93,2.0,4,4,0.6663745416116666,1.1998248442774706
94,202.0,3,2,0.624148077751,0.672623405377563
95,203.0,3,3,0.4502057675748055,0.8154552235289023
96,204.0,3,1,0.0362915250778333,0.0603414126115205
97,205.0,5,3,0.3925684992254167,0.5188756973014124
98,206.0,5,2,0.4649135373723333,0.7719676697015149
99,207.0,4,2,0.4791978501422778,0.8132648992303442
100,208.0,5,1,0.4210197519751111,0.6709404849025533
101,209.0,2,4,0.5440875370397222,0.707882219106372
102,21.0,5,2,0.3362341300446944,0.8084496364959762
103,210.0,5,2,0.7919275863541667,1.2461916431349986
104,211.0,4,2,0.7076993527187777,1.1604446075970634
105,212.0,5,1,0.0340799146078888,0.0985641515788495
106,213.0,5,2,0.4589664171231666,0.9962341551848072
107,214.0,5,3,0.3389404908444444,0.6773443976128617
108,215.0,5,2,1.0809760955681111,1.3026868640116245
109,216.0,3,2,0.7192514227251667,0.6070653789395375
110,217.0,5,1,0.2381375590816944,0.3195873651480881
111,218.0,5,2,0.8668654374338889,1.2666268288934368
112,219.0,5,1,0.8233577512613889,1.592429806123861
113,22.0,5,2,0.6091711562355556,1.02657041541621
114,220.0,5,4,0.5584367062885001,2.654306101818746
115,221.0,5,2,0.1131299880594444,0.4150263259689861
116,222.0,3,1,0.6567196793848612,0.7641972585386638
117,223.0,2,2,0.0890910176333333,0.0721974680160022
118,224.0,5,4,1.239934279802611,1.2975454247686773
119,225.0,2,1,0.0368783636085555,2.8282705003133404
120,226.0,3,1,0.4775280277374167,0.8505657801677605
