,tract,Base_Num,Robot_Num,CO2,Time
184,288.0,4,3,0.7691353611254013,1.2450555004227777
185,289.0,1,4,2.744799979200559,14.263465164965275
186,29.0,1,5,0.5061266577661401,0.7593079894579167
187,3.0,1,3,0.5454089491024514,1.3089973304563889
188,30.0,3,3,0.5368142285874683,0.6644692131992223
189,31.0,3,5,1.04486078062746,0.0502226698667222
190,32.0,3,3,1.0621313629324964,0.8994337520258333
191,33.0,1,4,0.8117926797244305,2.5950076617055555
192,34.0,2,4,0.4875746991910786,0.5854712014285833
193,35.0,1,2,0.2649289732725992,0.860869699573611
194,37.0,1,2,0.2724559273563245,0.8888322320247222
195,4.0,4,4,2.476056601326414,0.3940423835924999
196,40.0,3,4,0.5876502165626281,1.4231349194425
197,41.0,1,4,1.6340927569182375,2.935972669666666
198,42.0,4,2,1.0581158565183932,1.2604780954872776
199,44.0,1,3,0.2954525153975083,0.8598777264788888
200,45.0,5,3,1.623706949043975,1.4351232963144445
201,46.0,3,2,0.6087665906754766,0.9125882406660278
