,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Tracts
65,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,169
66,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,17
67,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,95,95,95,95,95,95,95,95,95,95,171
68,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,172
69,67,67,67,67,67,67,67,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,173
70,108,108,108,108,108,108,108,108,108,108,108,108,108,110,108,108,112,112,113,115,108,110,112,125,119,174
71,53,53,53,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,175
72,68,68,68,68,69,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,176
73,140,140,140,140,141,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,141,142,140,177
74,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,219,219,218,218,219,221,221,178
75,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,179
76,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,180
77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,181
78,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,183
79,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,184
80,71,71,71,71,73,71,72,71,71,71,71,72,76,71,71,71,71,77,80,82,71,75,87,90,73,185
81,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,186
82,61,61,61,61,63,61,61,61,61,61,61,63,61,61,65,61,69,71,70,64,61,78,73,67,72,187
83,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,124,124,124,124,188
84,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,111,111,111,111,113,111,111,113,117,116,19
85,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,190
86,70,70,70,70,70,84,84,84,84,84,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,192
87,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,193
88,81,81,82,81,81,82,82,83,82,82,82,82,83,82,82,82,82,82,83,83,82,82,82,82,82,195
