FID,FID_road_s,FID_Georgi,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Leng,Length,Lat,Lon
229,157,157,110485842683,Gordon Ct,M,S1400,0.000615543,60.91460037,30.35969925,-97.69709778
230,161,161,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35969925,-97.69709778
231,158,158,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35980034,-97.69539642
232,162,162,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.35980034,-97.69539642
233,170,170,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35980034,-97.69539642
234,159,159,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.36030006,-97.69249725
235,160,160,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.36030006,-97.69249725
236,164,164,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.36030006,-97.69249725
237,163,163,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.36079979,-97.69339752
238,164,164,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.36079979,-97.69339752
239,171,171,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946,30.36079979,-97.69339752
240,165,165,110485879475,Shepard Dr,M,S1400,0.003273476,350.4700012,30.36079979,-97.69750214
241,166,166,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.36079979,-97.69750214
242,169,169,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.36079979,-97.69750214
243,168,168,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.36109924,-97.69809723
244,169,169,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.36109924,-97.69809723
245,172,172,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.36109924,-97.69809723
246,170,170,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.36149979,-97.69439697
247,171,171,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946,30.36149979,-97.69439697
248,173,173,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946,30.36149979,-97.69439697
249,12,12,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34609985,-97.70400238
250,13,13,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932,30.34609985,-97.70400238
251,26,26,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059,30.34609985,-97.70400238
252,27,27,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34609985,-97.70400238
253,27,27,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34690094,-97.70349884
254,28,28,110485718866,E Lola Dr,M,S1400,0.002922113,291.2269897,30.34690094,-97.70349884
255,33,33,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34690094,-97.70349884
256,35,35,110485719124,W Lola Dr,M,S1400,0.002018466,199.5590057,30.34690094,-97.70349884
257,33,33,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34749985,-97.70320129
258,34,34,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34749985,-97.70320129
259,44,44,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34749985,-97.70320129
260,69,69,110485844497,Powell Ln W,M,S1400,0.006918805,690.6240234,30.34749985,-97.70320129
261,71,71,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35099983,-97.69789886
262,73,73,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095,30.35099983,-97.69789886
263,83,83,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095,30.35099983,-97.69789886
264,91,91,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35099983,-97.69789886
265,75,75,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35110092,-97.70079803
266,76,76,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985,30.35110092,-97.70079803
267,80,80,110485845493,Walnut Dr W,M,S1400,0.000793562,77.50009918,30.35110092,-97.70079803
268,86,86,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35110092,-97.70079803
269,88,88,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883,30.35219955,-97.70240021
270,89,89,110485884204,San Jose St,M,S1400,0.002106964,209.0789948,30.35219955,-97.70240021
271,94,94,110485884204,San Jose St,M,S1400,0.002106964,209.0789948,30.35219955,-97.70240021
272,95,95,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883,30.35219955,-97.70240021
273,95,95,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883,30.35309982,-97.70179749
274,96,96,110485841060,Beaver St,M,S1400,0.004838267,484.1589966,30.35309982,-97.70179749
275,105,105,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883,30.35309982,-97.70179749
